module	title	code	type	semester	credits
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Analysis 2	104.267	VO	2024S	3
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Analysis 2	104.268	UE	2024S	4
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Approximation Algorithms	186.102	VU	2023W	3
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Complexity Analysis	184.215	VU	2024S	3
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Database Theory	181.140	VU	2023W	3
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Fixed-Parameter Algorithms and Complexity	192.135	VU	2023W	4
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	GPU Architectures and Computing	182.731	VU	2024S	6
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Graph Drawing Algorithms	192.141	VU	2024S	4
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Hands-On Cloud Native	194.131	VU	2024S	6
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Heuristic Optimization Techniques	192.137	VU	2023W	4
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	High Performance Computing	184.725	VU	2024S	4
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	High Performance Computing	184.725	VU	2023W	4
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Nonlinear Programming	105.147	VO	2023W	3
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Nonlinear Programming	105.652	UE	2023W	2
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Structural Decompositions and Algorithms	186.856	VU	2024S	3
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Advanced Database Systems	184.780	VU	2024S	6
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Randomized Algorithms	192.020	VU	2023W	3
Modul VAST/CO - Visual Analytics and Semantic Technologies - Core	Advanced Information Retrieval	188.980	VU	2024S	3
Modul VAST/CO - Visual Analytics and Semantic Technologies - Core	Design and Evaluation of Visualisations	193.143	UE	2024S	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Deductive Databases	192.067	VO	2023W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Description Logics and Ontologies	184.772	VU	2023W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Document Analysis	183.628	VU	2024S	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Information Visualization	186.143	UE	2024S	1
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Information Visualization	188.308	UE	2023W	1
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Knowledge-based Systems	184.730	VU	2024S	6
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Knowledge Graphs	192.116	VU	2024S	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Medical Image Processing	183.269	VO	2024S	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Medical Image Processing	183.630	UE	2024S	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Natural Language Processing and Information Extraction	194.093	VU	2023W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Processing of Declarative Knowledge	184.205	VO	2023W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Research topics in natural language processing	194.135	VU	2024S	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Research topics in natural language processing	194.135	VU	2023W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Realtime Visualization	186.191	VU	2023W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Semantic Technologies	184.729	VU	2024S	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Semi-Automatic Information and Knowledge Systems	188.387	VU	2024S	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Visual Data Science	186.868	VU	2023W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Visualization 2	186.833	VU	2023W	4
Prüfungsfach Data Science - Foundations	AKSTA Statistical Computing	105.731	VU	2025S	3
Prüfungsfach Data Science - Foundations	Data-oriented Programming Paradigms	188.995	VU	2024W	3
Prüfungsfach Data Science - Foundations	Experiment Design for Data Science	188.992	VU	2024W	3
Prüfungsfach Data Science - Foundations	Advanced Methods for Regression and Classification	105.707	VU	2024W	4
Prüfungsfach Data Science - Foundations	Machine Learning	184.702	VU	2025S	4
Prüfungsfach Data Science - Foundations	Machine Learning	184.702	VU	2024W	4
Prüfungsfach Data Science - Foundations	Information Visualization	188.305	VO	2024W	3
Prüfungsfach Data Science - Foundations	Introduction to Semantic Systems	188.399	VU	2024W	3
Prüfungsfach Domain-Specific Aspects of Data Science	Interdisciplinary Lecture Series on Data Science	194.046	VU	2024W	1
Prüfungsfach Domain-Specific Aspects of Data Science	Interdisciplinary Project in Data Science	194.147	PR	2024W	5
Prüfungsfach Domain-Specific Aspects of Data Science	Domain-Specific  Lectures in Data Science	194.068	VU	2024W	3
Modul FDS/CO - Fundamentals of Data Science - Core	Data Acquisition and Survey Methods	105.708	VU	2025S	3
Modul FDS/EX - Fundamentals of Data Science - Extension	Digital Humanism	194.072	VU	2024W	3
Modul FDS/EX - Fundamentals of Data Science - Extension	Sustainability in Computer Science	194.155	VU	2024W	3
Modul FDS/EX - Fundamentals of Data Science - Extension	User Research Methods	193.055	VU	2024W	3
